Competitor Name,Product Name,Price,Rating,Customer Satisfaction
Competitor B,Product A,185.02903855507182,17.45378466458014,3.8952273710961425
Competitor D,Product A,84.90677536094421,6.836028231695108,4.031905991788694
Competitor A,Product C,191.64033447647873,22.19866210737872,3.4498431106560226
Competitor B,Product B,62.425349027682884,27.90289568231996,3.535030712216664
Competitor B,Product B,83.70815845001704,9.6425325828747,3.109811438782381
Competitor A,Product D,143.50594305229498,27.300171242298976,3.5203429603437346
Competitor A,Product D,61.97742424128981,20.51308656158982,3.291745387193349
Competitor D,Product D,117.26822303073341,22.10811806159335,4.447015333375355
Competitor B,Product D,104.87558456208325,18.26466293268568,4.320363768856477
Competitor D,Product A,132.0854049465981,6.616609826127188,3.6878997649367866
Competitor B,Product B,163.9917895797946,12.969582093149446,4.352802664878948
Competitor D,Product A,119.65652805922548,10.962050443913167,4.130997203109464
Competitor D,Product D,180.91963091115645,28.28061606995025,3.263308381502871
Competitor C,Product D,115.73780613891559,22.58969736197816,4.231396747152234
Competitor C,Product D,52.67394371518094,28.61266015803685,4.363353820172451
Competitor A,Product A,69.38242690579673,18.06859695762752,4.117463817868872
Competitor B,Product D,93.33493511767495,12.893868188217361,3.7827607252182296
Competitor C,Product A,53.69763398585089,20.968060607596232,4.356289417715517
Competitor A,Product A,136.024624631226,10.197399278922756,3.767689435641813
Competitor D,Product B,91.29016940900144,24.888819779214913,3.331251174115673
Competitor D,Product B,73.22866056506254,28.40016236351199,3.496878378205021
Competitor A,Product A,116.50476734094408,20.575522820342684,4.286010690902608
Competitor C,Product D,98.76656433179588,6.495634689913302,4.171971681135398
Competitor C,Product D,94.98796729598143,18.084165345012188,3.6646397194521216
Competitor A,Product B,151.0559543440716,18.665076561315686,4.0805078970414685
Competitor B,Product B,155.65688457928718,10.758084543325683,4.381405893026731
Competitor A,Product D,59.21808421533851,20.660827398826555,3.7075452268557605
Competitor B,Product B,171.57867927918153,20.15232553578732,3.1130555260813333
Competitor C,Product B,97.54398230275403,21.130601327870963,3.114398759562821
Competitor A,Product C,107.46651730002489,13.842300695546296,3.2308422437208546
Competitor C,Product A,132.96851165463153,11.69227442629959,3.9400119882841076
Competitor A,Product D,142.1962137920092,5.293722924526363,3.443644848821792
Competitor C,Product B,83.7328910635455,23.695016905783802,3.451415820371259
Competitor D,Product B,138.4655901240784,21.08230503231684,3.126825558869062
Competitor C,Product A,63.926119808340516,9.20558168761842,3.017392067242588
Competitor C,Product A,57.665390537930215,20.947094052966257,4.491319009302522
Competitor B,Product C,167.39512220410484,7.254035768843313,4.367657169139067
Competitor A,Product C,131.77722122411072,29.77706008872616,3.2594309063375775
Competitor B,Product B,119.82516365907271,16.12549332607299,4.457092599597503
Competitor A,Product D,179.55513593306438,7.6320461835620925,3.160265408475042
Competitor A,Product C,170.2090006772738,14.157622937662865,3.9627132453467024
Competitor B,Product D,189.23775653054412,17.328529187334514,3.914839787561169
Competitor C,Product B,107.48996170712381,17.2285873873463,3.2658673805177467
Competitor D,Product D,110.09462028904329,14.78157223904024,3.760156963980361
Competitor B,Product C,111.35971658322148,23.68026300711524,3.7657522490793385
Competitor C,Product C,54.0790001580084,26.12308186681196,3.65621749198474
Competitor A,Product B,106.23673628992759,28.963050044081573,3.8565510666938922
Competitor D,Product B,172.50454561983025,9.609276209956928,3.9291871744629963
Competitor B,Product B,186.33853387789225,15.971713612817638,4.1137761847777785
Competitor D,Product B,125.03465421322835,21.872436626180534,3.570758836366306
