Lead ID,Source,Lead Date,Status,Score,Last Contact Date,Converted Customer ID
300f2a6a-eec8-498f-92bd-8f6b63221036,Website,2023-02-17 22:35:51,Lost,80,2023-02-17 06:37:28,e93860e5-acd3-4fb8-91e0-8fd1de82772c
eb86ce47-afe5-4334-b004-d7d68dd507e1,Website,2022-12-18 14:36:14,Lost,80,2023-03-31 20:06:58,906f61e9-d085-40f8-9a96-abdf271b6b31
b3082736-40c3-41e9-abf2-dd9703a597b9,Website,2023-07-12 18:50:20,Lost,83,2023-02-23 00:01:30,53b024f0-ccfe-414c-934c-dfd8c9dd985f
3e83972a-0e28-43a7-b49f-bfaf41785f58,Referral,2022-11-01 19:31:41,Converted,57,2023-05-27 02:20:13,79fb40c4-b9cd-460a-81e0-f9539d9070dd
d71eff15-ec36-484d-8ccd-2e10516ba2f6,Event,2022-10-05 00:55:00,New,51,2022-10-28 17:45:18,40e4d79f-c0fd-47e9-b420-1d91201f3de0
2cadb1e2-e264-48d2-b70a-32b84faa19c1,Referral,2023-01-11 04:15:09,Converted,96,2022-12-24 16:22:43,1665f2c3-a895-4b9c-8692-24c1a575f8ed
89f86f9a-832e-4032-9937-e0a28722ac83,Website,2023-07-01 08:31:21,New,60,2022-07-31 01:11:35,90ab4fde-068f-44c6-a755-91011a419ed8
30dc34f0-cee7-462a-ac02-2059b8cfb787,Website,2022-08-25 10:32:34,Converted,92,2022-08-09 09:29:45,794da22a-7bfc-48e2-8e61-0cc8143ba8b5
797f3d44-0c76-4020-b5e2-23851c38f8d9,Website,2022-08-28 22:31:05,Converted,73,2023-07-03 13:58:48,6b25adca-986f-42b1-b9a0-2cdef9851661
5cb612fd-5068-4e17-9d30-d050ede065d3,Referral,2023-06-30 16:01:09,Contacted,65,2023-05-22 08:01:55,57b1d9ee-df8e-4823-b8c1-38d339619a5a
ee375957-e696-4f66-a489-4b3eb93b7987,Website,2022-09-27 12:13:41,New,93,2022-08-08 08:21:33,e93860e5-acd3-4fb8-91e0-8fd1de82772c
27be2010-678a-4855-a429-18ecc0f234d0,Referral,2023-07-11 23:15:00,Converted,51,2023-03-29 04:43:51,65c17330-cc23-4b2c-a619-89fc847defce
2947f6f9-b27d-4de8-8287-d042b9994492,Referral,2023-01-02 15:21:14,New,91,2023-06-20 05:48:32,841a7a56-17b6-4e87-b236-17c59544342a
7947ceeb-558e-487b-9941-205b099a5c6a,Referral,2023-02-11 23:02:58,Converted,58,2023-05-04 10:29:29,f4b9249c-5034-4902-9386-fa4b03ba3936
bdb900c7-9fca-4e41-b67e-9ba074271bcf,Website,2022-07-30 12:09:12,Contacted,99,2022-10-27 10:33:03,12ff8450-5451-4127-81c2-4e46bc5bb1d1
6256489f-4d6d-4646-b3e1-aadeb80b9dfc,Referral,2022-11-22 08:00:10,Lost,55,2023-07-28 01:19:51,841a7a56-17b6-4e87-b236-17c59544342a
c6d86153-83a3-453b-b2ef-dac4da03f03d,Event,2023-07-25 09:10:34,Converted,50,2023-03-22 06:33:26,be76cad7-1e86-4d37-970e-11353b2cf9e6
