Campaign ID,Campaign Name,Start Date,End Date,Budget,Channel,Reach,Impressions,Conversion Rate
b00b6398-4b4c-4f25-965d-af6269fab879,Reverse-engineered 24hour forecast,2022-08-11 11:02:34,2023-09-09 21:50:39,5343.822056266147,TV,13385,99,2.619715655688358
6e591e63-8431-4b2d-bf49-c613d4d3a5d6,Profound national instruction set,2022-10-03 03:57:22,2023-11-09 16:26:19,3282.7472331052763,Email,22614,64,4.541271815372645
6e3ba24f-78cc-4e5a-9964-ba8e45dd8e8e,Object-based client-server concept,2022-10-21 00:40:00,2024-02-09 06:27:11,4490.401127180862,Social Media,38316,95,3.4146725775096356
d495250b-0a85-45ae-994e-76745502f8fd,Robust bandwidth-monitored circuit,2022-12-27 06:01:58,2023-08-03 03:33:53,5880.006149138216,Social Media,17159,61,2.7724827129134773
7dd86f45-f0ca-4416-b9a0-33669fbee6eb,Digitized modular pricing structure,2023-06-22 15:49:34,2024-02-16 11:27:58,9296.508614203593,Email,29594,71,3.487574712120267
df896dd6-7b5c-4b92-b0cb-cc21d6c22075,Total logistical throughput,2023-02-20 14:46:03,2023-10-04 00:10:43,1149.855021216616,Social Media,9765,158,4.561550996181242
0a120a8f-ac5f-4bee-860e-71079a4fe9c7,Enterprise-wide background groupware,2023-05-11 17:40:11,2023-08-11 01:09:24,4387.4488527002395,Social Media,36973,71,4.7814383235418045
d48f1e47-1ef3-496d-aaf4-509ef35007a5,Reactive asymmetric moratorium,2023-05-30 00:55:17,2024-02-24 02:12:52,3814.336997056943,Social Media,37861,51,3.7573069381229995
8c8590fe-0900-405e-ab1e-3d1b405d2516,Innovative static process improvement,2023-03-29 00:21:24,2024-01-12 13:25:17,5252.484703247554,Social Media,17822,108,3.096122854782226
677d3bcb-2566-4a50-abab-41701468b17e,Decentralized scalable secured line,2022-10-02 09:40:48,2024-02-24 05:40:39,4091.22356422206,TV,22554,180,2.6914841442159068
abff0196-c028-43cb-beec-50c9b4988771,Expanded fault-tolerant moderator,2023-04-19 15:57:01,2023-10-11 17:25:22,2860.9585254778576,Social Media,23205,179,1.6924654748713794
69cbd185-eaba-4cf9-ad87-341be224c423,Assimilated static budgetary management,2022-12-17 17:02:31,2023-11-14 05:51:55,3010.1358452811405,Email,19741,74,2.0450207637572113
274d208a-5bfd-4332-bbf2-0da1d9059665,Devolved high-level throughput,2022-08-01 14:35:41,2023-11-04 13:09:57,1384.6120557657493,TV,33288,145,1.4616441792463433
13a2a8d0-82e6-40dd-ac77-9d5c1345bb0e,Function-based modular functionalities,2022-11-09 22:32:11,2023-08-11 09:22:13,3061.2951645332587,Social Media,49203,96,3.9026109532325495
8dddf508-9589-48b7-ad81-eac78df06b93,Intuitive homogeneous functionalities,2023-04-12 14:33:34,2024-07-11 21:27:05,2626.4921956010203,TV,38876,164,4.630187872733945
042c531e-2a16-4089-884c-d12c5d6bdcd6,Total object-oriented array,2022-10-14 07:03:48,2024-05-15 00:43:13,3763.5015882084685,Social Media,8815,54,1.0200941977768303
61bfdbe1-5a51-457e-8a7b-aaa84cb9dd5c,Pre-emptive 24hour Local Area Network,2023-06-19 06:35:42,2023-11-01 11:23:14,6065.95726852884,Email,36335,190,2.644024656299403
195b0e9f-0925-47c0-86e0-12a8ac04bd86,User-friendly intermediate throughput,2022-08-14 13:00:13,2024-03-18 18:29:43,4059.472184988947,Email,19906,142,3.8442758493648386
8199d403-7e40-4126-9f04-b59c83c06fd0,Universal impactful website,2022-08-06 11:38:24,2023-08-30 16:52:33,4185.243458894376,TV,11696,200,4.730753733738668
ff6861a6-eb58-43f4-97f1-fe829b66932f,Organic mission-critical support,2022-08-01 11:58:40,2024-01-24 21:00:19,5234.03186384232,Email,15792,178,3.5673222363440913
