Order ID,Customer ID,Order Date,Product ID,Quantity,Unit Price,Total Amount,Payment Method,Order Status
1,e32d8b08-4c47-4641-a7a5-1fd59dbf0e94,2023-01-28 07:33:10,15d83da5-0ba1-4dd1-896b-eb169845eb7c,2,35.39356933885527,70.78713867771054,Credit Card,Shipped
2,cdded0ee-b676-4fea-993b-90aa9e93678d,2022-10-18 09:51:38,a8629463-3d3c-4f48-810a-5a6113f949cb,5,10.55000128357955,52.750006417897744,Cash,Pending
3,335d9d30-9073-4329-908e-4c7b63fa2923,2023-04-12 18:29:21,1ce30ba0-63f1-4721-aa4b-890ebbaccaa0,4,61.094058987468074,244.3762359498723,Cash,Delivered
4,1fc36732-b9fa-4432-b2c6-df869dc9ea07,2023-07-24 11:46:43,77b478b1-a4ec-44b6-99c7-58c82694fe08,1,45.83791259205847,45.83791259205847,Credit Card,Shipped
5,6b25adca-986f-42b1-b9a0-2cdef9851661,2022-09-18 17:42:30,7613eaf9-7d43-4f27-8c9b-72c870e111e2,5,36.34328819145823,181.71644095729113,Credit Card,Delivered
6,9b7ed981-f399-4809-9804-2d5307998690,2022-09-23 11:23:29,181851dc-213d-49fa-879e-791852ffb5fd,4,78.13404655124751,312.53618620499003,Cash,Pending
7,da0de146-1371-406e-8d86-0ab1afb81837,2022-10-19 08:43:53,b5ced3f2-d1e2-4567-9b53-0caef6ff06c5,3,62.1415556095497,186.4246668286491,PayPal,Delivered
8,8fdd940f-6ca5-4ef7-83eb-fa76890ee294,2022-09-02 02:04:44,f858ee11-f59a-47b3-b0e3-d76e359b7ec4,5,72.33516539858448,361.6758269929224,Credit Card,Delivered
9,cd4a81e2-189c-4adf-bad8-6368fe620ffc,2022-08-01 20:41:28,b05fdd25-bbdc-4027-8155-3f0c9f703d7f,3,19.530306636816412,58.59091991044924,Credit Card,Shipped
10,9b7ed981-f399-4809-9804-2d5307998690,2023-06-20 17:59:30,2c188e18-f04d-4be7-bb07-70980eee5e98,1,98.2604453880411,98.2604453880411,PayPal,Pending
11,e3f8f468-cf2f-41da-b53b-96bfddbde7d3,2022-10-21 16:51:48,40c7591f-3fc3-42f3-922c-d23bc9ac9c10,3,73.10744074880138,219.32232224640416,PayPal,Pending
12,cd4a81e2-189c-4adf-bad8-6368fe620ffc,2023-02-25 12:11:48,44ed7ed0-3341-451f-91f8-2fe4daa0f969,1,73.86547412968432,73.86547412968432,Cash,Pending
13,761e1e15-0306-49b7-90a5-fd5a864bce56,2023-07-08 03:05:05,9bb10e94-98b5-4738-9cbf-c95b03c7323c,3,40.782997516523,122.34899254956899,PayPal,Shipped
14,1fc36732-b9fa-4432-b2c6-df869dc9ea07,2022-09-03 18:40:03,933f9dee-3f27-42fc-9a8a-da7f901e5a2f,1,38.86558294803412,38.86558294803412,PayPal,Shipped
15,6c451b57-3dba-4ee9-8cc1-9b237cd44e1d,2023-05-31 21:55:55,7eeebad2-f740-42f2-aad9-11e0f3dea85a,2,83.59035953401444,167.18071906802888,Credit Card,Shipped
16,e3f8f468-cf2f-41da-b53b-96bfddbde7d3,2022-12-10 23:54:36,796cb67a-bf8f-4de8-b3e0-4e2d9261c79c,4,45.68840343099133,182.75361372396532,PayPal,Pending
17,a7b0afd7-5c2c-43c4-ab33-85772cda7c90,2022-11-13 15:33:36,86484497-7c46-41a8-b62c-6495b3f91f5f,4,14.103875804026362,56.41550321610545,Cash,Shipped
18,cf92c692-d447-4bff-8b87-0b9fc8fc42e4,2023-05-03 23:51:39,2b22df0d-0982-4717-b1e3-eb74bb64cd6c,4,24.138978903274847,96.55591561309939,Cash,Delivered
19,c2f4ef5d-f1e7-479c-9c51-b68b21dece27,2022-09-09 17:05:25,83e99146-06aa-4437-b356-7497e207b7ef,1,33.39519613304424,33.39519613304424,PayPal,Shipped
20,12ff8450-5451-4127-81c2-4e46bc5bb1d1,2022-10-08 03:56:39,a5c4c406-8fec-48e4-8a05-e0dbffdc5e7c,2,24.61573392699905,49.2314678539981,Cash,Pending
21,e09e7565-0252-4288-b254-a0bd9b3b1d7c,2022-12-02 10:59:26,04a4efbb-020f-49e1-aa52-b88a0e9a4ee4,5,90.09844401168651,450.49222005843257,Credit Card,Pending
22,57b1d9ee-df8e-4823-b8c1-38d339619a5a,2023-02-01 03:04:43,c85c8be0-57d8-4caf-b305-a4e5fa4e067d,5,97.87349782859403,489.36748914297016,PayPal,Delivered
23,c1e9afcd-6ed4-4e83-8ceb-bc72ef19967e,2022-10-14 10:50:34,3451b6d4-ceb9-49ed-b38a-297271f5143b,1,77.75673303007034,77.75673303007034,Credit Card,Shipped
24,53b024f0-ccfe-414c-934c-dfd8c9dd985f,2023-06-03 06:37:42,0029d5e5-2028-4f37-9ec6-9ce24afb9d47,3,69.20145766873742,207.60437300621226,Cash,Delivered
25,1665f2c3-a895-4b9c-8692-24c1a575f8ed,2022-10-23 18:54:08,40759cda-2a97-4920-928b-539b333e8d14,5,56.21837069787314,281.0918534893657,PayPal,Shipped
26,14ce9cb8-cb11-4843-bd79-eb50843a517f,2022-12-15 09:11:43,4c3659e1-ce7c-47b1-8fd0-952ad59c3160,1,51.20996318809915,51.20996318809915,Credit Card,Pending
